stroma_purple_areas,glands,stroma_pink_lines
000030689200333236_0557,000030689200333236_0552,000030689200333236_2778
000030689200333236_0558,000030689200333236_0553,000030689200333236_2779
000030689200333236_0559,000030689200333236_0601,000030689200333236_1975
000030689200333236_0560,000030689200333236_0602,000030689200333236_2065
000030689200333236_0561,000030689200333236_0603,000030689200333236_2151
000030689200333236_0562,000030689200333236_0691,000030689200333236_2241
000030689200333236_0644,000030689200333236_0692,000030689200333236_2330
000030689200333236_0645,000030689200333236_0916,000030689200333236_2331
000030689200333236_0646,000030689200333236_0917,000030689200333236_2332
000030689200333236_0647,000030689200333236_0918,000030689200333236_3030
000030689200333236_0648,000030689200333236_0919,000030689200333236_3119
000030689200333236_0649,000030689200333236_0920,000030689200333236_3120
000030689200333236_0650,000030689200333236_1004,000030689200333236_3121
000030689200333236_0651,000030689200333236_1005,000030689200333236_3829
000030689200333236_0652,000030689200333236_1006,000030689200333236_3832
000030689200333236_0653,000030689200333236_1007,000030689200333236_3835
000030689200333236_0654,000030689200333236_1008,000030689200333236_3836
000030689200333236_0655,000030689200333236_1009,000030689200333236_3837
000030689200333236_0732,000030689200333236_1010,000030689200333236_3838
000030689200333236_0733,000030689200333236_1011,000030689200333236_3839
000030689200333236_0734,000030689200333236_1012,000030689200333236_3840
000030689200333236_0735,000030689200333236_1013,000030689200333236_3927
000030689200333236_0736,000030689200333236_1093,000030689200333236_3928
000030689200333236_0737,000030689200333236_1094,000030689200333236_3929
000030689200333236_0738,000030689200333236_1096,000030689200333236_3930
000030689200333236_0739,000030689200333236_1183,000030689200333236_3931
000030689200333236_0740,000030689200333236_1212,000030689200333236_3932
000030689200333236_0741,000030689200333236_1475,000030689200333236_4097
000030689200333236_0742,000030689200333236_1476,000030689200333236_4098
000030689200333236_0743,000030689200333236_1477,000030689200333236_4099
000030689200333236_0744,000030689200333236_1567,
000030689200333236_0745,000030689200333236_1568,
000030689200333236_0746,000030689200333236_1569,
000030689200333236_0747,000030689200333236_1968,
