stroma_dark_purple,redish_areas,cells,cells_redglands
000030689500332896_00978,000030689500332896_01119,000030689500332896_01681,000030689500332896_01681
000030689500332896_00979,000030689500332896_01177,000030689500332896_01821,000030689500332896_01682
000030689500332896_00980,000030689500332896_01178,000030689500332896_01964,000030689500332896_01683
000030689500332896_01037,000030689500332896_04249,000030689500332896_02107,000030689500332896_01684
000030689500332896_01038,000030689500332896_04107,000030689500332896_02108,000030689500332896_01685
000030689500332896_01039,000030689500332896_04978,000030689500332896_02109,000030689500332896_01743
000030689500332896_01121,000030689500332896_04979,000030689500332896_02167,000030689500332896_01744
000030689500332896_01122,000030689500332896_05121,000030689500332896_04949,000030689500332896_01745
000030689500332896_01123,000030689500332896_05122,000030689500332896_05014,000030689500332896_01819
000030689500332896_01124,000030689500332896_05134,000030689500332896_05156,000030689500332896_01820
000030689500332896_01188,000030689500332896_05264,000030689500332896_05157,000030689500332896_01824
000030689500332896_01475,000030689500332896_05265,000030689500332896_05234,000030689500332896_01825
000030689500332896_01618,000030689500332896_05277,000030689500332896_05299,000030689500332896_01880
000030689500332896_01907,000030689500332896_05417,000030689500332896_05584,000030689500332896_01883
000030689500332896_02048,000030689500332896_05419,000030689500332896_05727,000030689500332896_01884
000030689500332896_02049,000030689500332896_06381,000030689500332896_05819,000030689500332896_01885
000030689500332896_02050,000030689500332896_06382,000030689500332896_05870,000030689500332896_01965
000030689500332896_07042,000030689500332896_06559,000030689500332896_05881,000030689500332896_01966
000030689500332896_07043,000030689500332896_06560,000030689500332896_05962,000030689500332896_01967
000030689500332896_07044,000030689500332896_06561,000030689500332896_06105,000030689500332896_02025
000030689500332896_07045,000030689500332896_06562,000030689500332896_06166,000030689500332896_02026
000030689500332896_07046,000030689500332896_06588,000030689500332896_06167,000030689500332896_02027
000030689500332896_07268,,000030689500332896_06168,
000030689500332896_07269,,000030689500332896_06881,
000030689500332896_07270,,,
000030689500332896_07271,,,
