cells_stroma,cells,bigger_cells
000030734200335038_01694,000030734200335038_02627,000030734200335038_03361
000030734200335038_01695,000030734200335038_02628,000030734200335038_03362
000030734200335038_01877,000030734200335038_02812,000030734200335038_03546
000030734200335038_01878,000030734200335038_02813,000030734200335038_03818
000030734200335038_02060,000030734200335038_02814,000030734200335038_05470
000030734200335038_02061,000030734200335038_03082,000030734200335038_05471
000030734200335038_02697,000030734200335038_03083,000030734200335038_05472
000030734200335038_02698,000030734200335038_03084,000030734200335038_05654
000030734200335038_02699,000030734200335038_03085,000030734200335038_05655
000030734200335038_02789,000030734200335038_03182,000030734200335038_05656
000030734200335038_02790,000030734200335038_03366,000030734200335038_05657
000030734200335038_02791,000030734200335038_03454,000030734200335038_05658
000030734200335038_02792,000030734200335038_03638,000030734200335038_05839
000030734200335038_03063,000030734200335038_03639,000030734200335038_14075
000030734200335038_03064,000030734200335038_04649,000030734200335038_14076
000030734200335038_03065,000030734200335038_04834,000030734200335038_14077
000030734200335038_03447,000030734200335038_04835,000030734200335038_14260
000030734200335038_03448,000030734200335038_04925,
000030734200335038_03449,000030734200335038_04926,
000030734200335038_03450,000030734200335038_05664,
000030734200335038_03451,000030734200335038_05755,
000030734200335038_03452,,
000030734200335038_03453,,
